STATISTICS.packets_TO_BS3 STATISTICS.DEAD3 STATISTICS.ALLIVE3
15586.00 15609.00 15634.00
15661.00 15678.00 15701.00
15716.00 15731.00 15750.00
15765.00 15788.00 15807.00
15830.00 15861.00 15882.00
15905.00 15926.00 15943.00
15960.00 15979.00 15998.00
16023.00 16048.00 16069.00
16080.00 16107.00 16132.00
16143.00 16170.00 16199.00
16216.00 16241.00 16256.00
16275.00 16290.00 16315.00
16334.00 16357.00 16380.00
16393.00 16414.00 16437.00
16468.00 16481.00 16496.00
16517.00 16532.00 16565.00
16590.00 16607.00 16622.00
16635.00 16654.00 16671.00
16696.00 16721.00 16746.00
16767.00 16800.00 16817.00
16834.00 16853.00 16882.00
16905.00 16920.00 16951.00
16968.00 16989.00 17010.00
17023.00 17048.00 17065.00
17084.00 17113.00 17130.00
17155.00 17172.00 17199.00
17220.00 17253.00 17272.00
17297.00 17318.00 17331.00
17360.00 17375.00 17398.00
17411.00 17430.00 17445.00
17462.00 17489.00 17506.00
17523.00 17548.00 17565.00
17594.00 17623.00 17640.00
17659.00 17680.00 17695.00
17710.00 17739.00 17754.00
17769.00 17790.00 17819.00
17850.00 17873.00 17892.00
17913.00 17922.00 17939.00
17960.00 17989.00 17998.00
18029.00 18060.00 18077.00
18090.00 18121.00 18130.00
18153.00 18178.00 18211.00
18226.00 18247.00 18270.00
18295.00 18314.00 18327.00
18356.00 18379.00 18390.00
18413.00 18434.00 18451.00
18480.00 18503.00 18518.00
18539.00 18568.00 18585.00
18606.00 18617.00 18648.00
18669.00 18690.00 18713.00
18752.00 18781.00 18792.00
18807.00 18820.00 18857.00
18870.00 18881.00 18900.00
18921.00 18936.00 18959.00
18986.00 19003.00 19026.00
19041.00 19062.00 19085.00
19110.00 19133.00 19154.00
19183.00 19202.00 19225.00
19248.00 19263.00 19280.00
19301.00 19320.00 19333.00
19366.00 19379.00 19406.00
19431.00 19446.00 19467.00
19494.00 19513.00 19530.00
19553.00 19574.00 19605.00
19624.00 19641.00 19666.00
19687.00 19714.00 19723.00
19740.00 19771.00 19794.00
19811.00 19830.00 19853.00
19868.00 19885.00 19898.00
19927.00 19948.00 19963.00
19984.00 19999.00 20018.00
20047.00 20074.00 20091.00
20106.00 20129.00 20156.00
20179.00 20200.00 20223.00
20240.00 20261.00 20274.00
20287.00 20316.00 20337.00
20364.00 20391.00 20412.00
20431.00 20454.00 20473.00
20502.00 20517.00 20532.00
20547.00 20572.00 20589.00
20608.00 20631.00 20650.00
20671.00 20682.00 20719.00
20740.00 20767.00 20780.00
20803.00 20828.00 20845.00
20860.00 20873.00 20902.00
20921.00 20938.00 20965.00
20986.00 21005.00 21030.00
21055.00 21078.00 21103.00
21110.00 21141.00 21156.00
21173.00 21192.00 21219.00
21242.00 21261.00 21280.00
21301.00 21330.00 21343.00
21364.00 21383.00 21398.00
21419.00 21438.00 21467.00
21488.00 21521.00 21534.00
21545.00 21566.00 21585.00
21604.00 21623.00 21636.00
21649.00 21666.00 21697.00
21724.00 21745.00 21770.00
21793.00 21810.00 21833.00
21848.00 21871.00 21892.00
21903.00 21922.00 21957.00
21968.00 21997.00 22016.00
22031.00 22046.00 22065.00
22084.00 22103.00 22136.00
22151.00 22174.00 22199.00
22222.00 22253.00 22268.00
22295.00 22308.00 22323.00
22350.00 22365.00 22384.00
22397.00 22418.00 22441.00
22454.00 22471.00 22490.00
22507.00 22528.00 22543.00
22560.00 22591.00 22610.00
22619.00 22646.00 22665.00
22676.00 22699.00 22710.00
22729.00 22762.00 22777.00
22796.00 22817.00 22828.00
22839.00 22850.00 22881.00
22896.00 22921.00 22930.00
22947.00 22980.00 22999.00
23020.00 23057.00 23080.00
23099.00 23114.00 23125.00
23132.00 23153.00 23162.00
23181.00 23196.00 23213.00
23226.00 23243.00 23256.00
23271.00 23304.00 23323.00
23338.00 23353.00 23372.00
23397.00 23414.00 23425.00
23432.00 23459.00 23474.00
23493.00 23512.00 23531.00
23544.00 23559.00 23576.00
23599.00 23618.00 23629.00
23644.00 23663.00 23684.00
23699.00 23716.00 23731.00
23738.00 23765.00 23788.00
23805.00 23820.00 23843.00
23856.00 23867.00 23882.00
23899.00 23922.00 23939.00
23950.00 23961.00 23986.00
24005.00 24014.00 24029.00
24044.00 24061.00 24078.00
24089.00 24102.00 24125.00
24146.00 24159.00 24168.00
24191.00 24204.00 24211.00
24224.00 24243.00 24254.00
24271.00 24282.00 24299.00
24318.00 24331.00 24348.00
24359.00 24378.00 24395.00
24408.00 24415.00 24428.00
